アメリカ,ワシントンD.C.,3億3480万人,334800000
イラン,テヘラン,8600万人,86000000
インド,ニューデリー,14億660万人,1406600000
インドネシア,ジャカルタ,2億7910万人,279100000
エジプト,カイロ,1億600万人,106000000
エチオピア,アジス・アベバ,1億2080万人,120800000
コンゴ共和国,キンシャサ,9520万人,95200000
タイ,バンコク,7010万人,70100000
ドイツ,ベルリン,8390万人,83900000
トルコ,アンカラ,8560万人,85600000
ナイジェリア,アブジャ,2億1670万人,216700000
バングラデシュ,ダッカ,1億6790万人,167900000
パキスタン,イスラマバード,2億2950万人,229500000
フィリピン,マニラ,1億1250万人,112500000
ブラジル,ブラジリア,2億1540万人,215400000
ベトナム,ハノイ,9900万人,99000000
メキシコ,メキシコシティ,1億3160万人,131600000
ロシア,モスクワ,1億4580万人,145800000
中国,北京,14億4850万人,1448500000
日本,東京,1億2560万人,125600000
